Adress-ID,Strasse_Hausnummer,PLZ_Stadt,Alternative_Adresse,Land
1,Sylvana-Davids-Ring 125,06082 Bremen,,DE
2,Jeannine-Eckbauer-Straße 121,59622 Schongau,,DE
3,Alfredo-Jungfer-Weg 72,28281 Haldensleben,,DE
4,Svetlana-Gorlitz-Allee 19,72910 Bad Brückenau,,DE
5,Gabi-Lindner-Ring 3,98056 Stadtroda,,DE
6,Annie-Hethur-Platz 144,11956 Bad Liebenwerda,,DE
7,Erdal-Beyer-Straße 87,10805 Augsburg,,DE
8,Gaetano-Hertrampf-Allee 105,27233 Kaiserslautern,,DE
9,Stolzegasse 143,71739 Steinfurt,,DE
10,Anja-Gertz-Weg 95,73939 Uffenheim,,DE
11,Friedrich-Karl-Reinhardt-Platz 53,65144 Hammelburg,,DE
12,Gunpfallee 32,29699 Ansbach,,DE
13,Fliegnerstr. 59,44044 Mittweida,,DE
14,Magdalene-Kruschwitz-Weg 121,96128 Hechingen,,DE
15,Trappgasse 95,97757 Rastatt,,DE
16,Lotti-Seifert-Platz 9,61318 Oranienburg,,DE
17,Christophring 30,33254 Aurich,,DE
18,Segebahnplatz 23,20947 Marienberg,,DE
19,Roggeallee 112,07995 Bernburg,,DE
20,Hillerring 45,32059 Leipziger Land,,DE
21,Hartmannweg 74,84567 Staßfurt,,DE
22,Nadeschda-Bien-Gasse 85,39911 Wismar,,DE
23,Rigo-Fröhlich-Gasse 49,37422 Schleiz,,DE
24,Segebahnweg 48,01276 Steinfurt,,DE
25,Stanislaw-Junken-Weg 140,31975 Regensburg,,DE
26,Annika-Kallert-Gasse 135,66166 Stadtsteinach,,DE
27,Girschnerplatz 116,04187 Stadtroda,,DE
28,Dan-Rohleder-Allee 89,51027 Apolda,,DE
29,Sieringstraße 2,48835 Flöha,,DE
30,Hans-Willi-Meyer-Platz 105,73931 Haldensleben,,DE
31,Lintnerring 27,3792 Baden,,AT
32,Angelika-Füreder-Weg 61,9764 Allentsteig,,AT
33,Bertholdstraße 35,8438 Gmunden,,AT
34,Stadlerring 76,4065 Bad Sankt Leonhard im Lavanttal,,AT
35,Gratzstr. 122,5269 Mattersburg,,AT
36,Neulingergasse 143,8949 Groß-Enzersdorf,,AT
37,Matteo-Hermann-Straße 110,1337 Bischofshofen,,AT
38,Reithoferstraße 1,8836 Schwechat,,AT
39,Ladnerring 49,6181 Herzogenburg,,AT
40,Elena-Haider-Straße 75,1379 Deutsch-Wagram,,AT
41,Rebecca Course 33,61970 Port Donna,,NL
42,George Plain 145,11405 Lake Tracy,,BE
43,Curry Parkways 26,98898 Robertsonburgh,,IT
44,Stewart Parks 41,07863 South Jennifer,,NL
45,Jeffery Road 46,31768 Floydland,,FR
46,Anthony Drive 125,49301 Port Rachelstad,,BE
47,Gonzalez Pike 71,54159 North Deborahborough,,BE
48,Jamie Roads 59,09493 East Kevinview,,ES
49,Gonzalez Viaduct 101,73551 Mclaughlinhaven,,FR
50,Andrew Club 54,85433 Michelleville,,NL
51,Stacy Port 28,42055 South Stephanie,Apt. 148 014,ES
52,Luka-Friedrich-Ring 103,1813 Bärnbach,,AT
53,Garcia Plains 110,06741 Marksland,Suite 682 90291,IT
54,Jamie Alley 53,64934 Karenfurt,Apt. 635 86434,IT
55,Anderson Drives 148,93525 East Samuelborough,Apt. 374 01814,IT
56,Jennifer Rue 15,29698 Jamesburgh,Suite 393 2056,IT
57,Junckstraße 2,20358 Torgau,,DE
58,King Mountain 83,34090 Williamberg,Suite 555 1420,ES
59,Emily Pass 35,75624 Robertview,Suite 717 89799,FR
60,Nelson Mountains 108,38521 Pearsonshire,Apt. 637 1386,FR
61,Schnablstraße 102,6927 Ternitz,,AT
62,Wright Union 1,47651 Gutierrezfort,Apt. 008 80177,IT
63,Butteplatz 56,04310 Wurzen,,DE
64,Böckstr. 59,6529 Waidhofen an der Ybbs,,AT
65,Clara-Ritter-Weg 47,59238 Sankt Goarshausen,,DE
66,Thomas Turnpike 1,85482 West Michelleside,Suite 827 062,ES
67,Devin Light 74,39800 Thompsonview,Apt. 041 96181,FR
68,Mark Dam 85,89556 West Brent,Suite 457 19565,IT
69,Huerta Flat 148,76329 Lake Laura,Apt. 276 686,ES
70,Donna Heights 41,32160 Davisfort,Apt. 981 7995,FR
71,Dana Fields 148,51061 East Ryanview,Suite 412 88462,IT
72,Joshua Spring 28,74938 New Elizabeth,Suite 020 1728,FR
73,Salas Mills 45,31247 Garciaburgh,Suite 781 2257,FR
74,Megan Villages 33,96819 Kaylamouth,Suite 721 87500,IT
75,Melissa Squares 11,75884 South Linda,Apt. 907 74418,ES
76,Bullock Bypass 113,04246 New Sandraburgh,Suite 381 7272,FR
77,Holloway Keys 128,37264 Christineberg,Apt. 425 02426,IT
78,Alexander Skyway 149,02524 Port Robert,Suite 929 052,IT
79,Aylin-Hell-Weg 31,7425 Mattighofen,,AT
80,Williams Ridges 123,73731 Johnsonside,Apt. 532 529,ES
